time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-10-18T12:23:33.092Z,42.1827,142.7452,57.22,4.4,mb,,70,0.349,0.69,us,us6000c96m,2020-10-18T12:39:33.040Z,"35 km ESE of Shizunai-furukawachō, Japan",earthquake,6.8,7.3,0.126,18,reviewed,us,us
2020-10-18T11:36:59.423Z,-22.0708,-63.7927,535.82,4.3,mb,,92,5.066,0.42,us,us6000c96f,2020-10-18T11:51:02.040Z,"13 km WSW of Yacuiba, Bolivia",earthquake,14.7,10.3,0.238,5,reviewed,us,us
2020-10-18T11:27:00.630Z,17.932,-67.078,11,2.78,md,21,244,0.0504,0.12,pr,pr2020292001,2020-10-18T11:50:14.735Z,"5 km SW of La Parguera, Puerto Rico",earthquake,0.55,0.31,0.38,8,reviewed,pr,pr
2020-10-18T11:13:04.250Z,31.6449,-104.2928,5,2.7,ml,,59,0.179,0.31,us,us6000c969,2020-10-18T11:18:27.040Z,"59 km S of Whites City, New Mexico",earthquake,1.1,2,0.052,48,reviewed,us,us
2020-10-18T10:33:47.310Z,32.4331665,-115.1731644,20.28,2.95,ml,27,91,0.1123,0.28,ci,ci39666960,2020-10-18T12:39:09.609Z,"9km NNE of Delta, B.C., MX",earthquake,0.66,1.32,0.316,13,automatic,ci,ci
2020-10-18T10:31:34.970Z,32.4591675,-115.1610031,21.42,3.5,mw,44,82,0.128,0.35,ci,ci39666952,2020-10-18T12:33:55.268Z,"12km NNE of Delta, B.C., MX",earthquake,0.52,1.22,,4,automatic,ci,ci
2020-10-18T10:19:23.423Z,-4.4242,129.3506,180.17,4.3,mb,,85,3.255,0.67,us,us6000c95w,2020-10-18T10:58:06.040Z,"129 km SSE of Amahai, Indonesia",earthquake,7,7.6,0.116,21,reviewed,us,us
2020-10-18T09:42:31.386Z,-16.6309,-177.2712,10,5.1,mww,,123,2.45,0.5,us,us6000c95r,2020-10-18T10:00:44.040Z,"272 km SSE of Alo, Wallis and Futuna",earthquake,10.9,1.9,0.098,10,reviewed,us,us
2020-10-18T08:07:17.023Z,39.187,23.446,10,4.4,mb,,43,1.176,0.87,us,us6000c95d,2020-10-18T11:54:25.318Z,"Aegean Sea",earthquake,5,1.9,0.114,22,reviewed,us,us
2020-10-18T07:34:09.288Z,44.3037,-115.1681,12.55,2.5,ml,,65,0.271,0.44,us,us6000c957,2020-10-18T07:53:30.040Z,"20 km WNW of Stanley, Idaho",earthquake,1.7,9.3,0.06,36,reviewed,us,us
2020-10-18T07:01:57.150Z,40.3470001,-124.2091675,28.51,3.42,ml,19,82,0.07251,0.12,nc,nc73472226,2020-10-18T09:58:48.861Z,"7km ENE of Petrolia, CA",earthquake,0.81,1.32,0.176,10,automatic,nc,nc
